pin,signal_8086,signal_286_plus,host_dir_8086,host_dir_286_plus,polarity,card_drive_type,role,rtl_binding,translator_group,source,status,notes
A27,AB21,AB21,bidir,bidir,high,tri_state,address,cbus_ab_i[21]|cbus_ab_o[21]|cbus_ab_oe[21],addr_hi,S001_p274_p276_p279,confirmed,古いROMボードは通常未デコード
A28,AB22,AB22,bidir,bidir,high,tri_state,address,cbus_ab_i[22]|cbus_ab_o[22]|cbus_ab_oe[22],addr_hi,S001_p274_p276_p279,confirmed,古いROMボードは通常未デコード
A29,AB23,AB23,bidir,bidir,high,tri_state,address,cbus_ab_i[23]|cbus_ab_o[23]|cbus_ab_oe[23],addr_hi,S001_p274_p276_p279,confirmed,古いROMボードは通常未デコード
A30,INT0,INT0,host_to_card,host_to_card,low,n/a,system,cbus_int_n_i,host_ctl_in,S001_p274_p276,confirmed,
A31,GND,GND,power,power,n/a,n/a,ground,,power,S001_p274_p276,confirmed,
A32,IOCHK0,IOCHK0,card_to_host,card_to_host,low,open_collector,target_response,cbus_iochk_n_assert,target_resp_oc,S001_p274_p276_p301,confirmed,PC-9801U2では未使用
A33,IOR0,IOR0,bidir,bidir,low,tri_state,command,cbus_ior_n_i|cbus_ior_n_o|cbus_ior_n_oe,cmd_bidir,S001_p274_p276_p301,confirmed,
A34,IOW0,IOW0,bidir,bidir,low,tri_state,command,cbus_iow_n_i|cbus_iow_n_o|cbus_iow_n_oe,cmd_bidir,S001_p274_p276_p301,confirmed,
A35,MRC0,MRC0,bidir,bidir,low,tri_state,command,cbus_mrc_n_i|cbus_mrc_n_o|cbus_mrc_n_oe,cmd_bidir,S001_p274_p277_p301,confirmed,
A36,MWC0,MWC0,bidir,bidir,low,tri_state,command,cbus_mwc_n_i|cbus_mwc_n_o|cbus_mwc_n_oe,cmd_bidir,S001_p274_p277_p301,confirmed,
A37,S00,INTA0,bidir,bidir,low,tri_state,generation_mux,cbus_s0_n_i|cbus_s0_n_o|cbus_s0_n_oe|cbus_inta_n_i|cbus_inta_n_o|cbus_inta_n_oe,gen_mux_a37,S001_p274_p275_p277,confirmed,
A38,S10,NOWAIT0,card_to_host,card_to_host,low,tri_state|open_collector,generation_mux,cbus_s1_n_assert|cbus_nowait_n_assert,gen_mux_a38,S001_p274_p275_p277_p301,confirmed,世代で出力回路形式が変わる
A39,S20,SALE1,card_to_host,bidir,low|high,tri_state,generation_mux,cbus_s2_n_assert|cbus_sale_i|cbus_sale_o|cbus_sale_oe,gen_mux_a39,S001_p274_p275_p277_p301,confirmed,世代で極性と方向が変わる
A40,LOCK0,MACS0,card_to_host,card_to_host,low,tri_state|open_collector,generation_mux,cbus_lock_n_assert|cbus_macs_n_assert,gen_mux_a40,S001_p274_p275_p277_p301,confirmed,世代で出力回路形式が変わる
A41,GND,GND,power,power,n/a,n/a,ground,,power,S001_p274_p277,confirmed,
A42,CPUENB10,CPUENB0,host_to_card,bidir,low,n/a|tri_state,generation_mux,cbus_cpuenb_n_i|cbus_cpuenb_n_o|cbus_cpuenb_n_oe,gen_mux_a42,S001_p274_p277,confirmed,NEC表で世代により方向が変わる
A43,RFSH0,RFSH0,host_to_card,host_to_card,low,n/a,system,cbus_rfsh_n_i,host_ctl_in,S001_p274_p277,confirmed,
A44,BHE0,BHE0,bidir,bidir,low,tri_state,address_control,cbus_bhe_n_i|cbus_bhe_n_o|cbus_bhe_n_oe,cmd_bidir,S001_p274_p277_p301,confirmed,
A45,IORDY1,IORDY1,card_to_host,card_to_host,high,tri_state,target_response,cbus_iordy_o|cbus_iordy_oe,target_resp_ts,S001_p274_p277_p301,confirmed,Lowでwait要求
A46,SCLK1,SCLK1,host_to_card,host_to_card,high,n/a,clock,cbus_sclk_i,host_ctl_in,S001_p274_p277,confirmed,
A47,S18CLK1,S18CLK1,host_to_card,host_to_card,high,n/a,clock,cbus_s18clk_i,host_ctl_in,S001_p274_p277,confirmed,
A48,POWER0,POWER0,host_to_card,host_to_card,low,n/a,system,cbus_power_n_i,host_ctl_in,S001_p274_p277,confirmed,
A49,+5V,+5V,power,power,n/a,n/a,power,,power,S001_p274_p277,confirmed,
A50,+5V,+5V,power,power,n/a,n/a,power,,power,S001_p274_p277,confirmed,
B1,GND,GND,power,power,n/a,n/a,ground,,power,S001_p273_p276,confirmed,
B2,V1,V1,reserved,reserved,unknown,unknown,reserved,,none,S001_p273_p276,unknown,機能記載なし
B3,V2,V2,reserved,reserved,unknown,unknown,reserved,,none,S001_p273_p276,unknown,機能記載なし
B4,DB00,DB00,bidir,bidir,high,tri_state,data,cbus_db_i[0]|cbus_db_o[0]|cbus_db_oe[0],data,S001_p273_p276_p301,confirmed,
B5,DB01,DB01,bidir,bidir,high,tri_state,data,cbus_db_i[1]|cbus_db_o[1]|cbus_db_oe[1],data,S001_p273_p276_p301,confirmed,
B6,DB02,DB02,bidir,bidir,high,tri_state,data,cbus_db_i[2]|cbus_db_o[2]|cbus_db_oe[2],data,S001_p273_p276_p301,confirmed,
B7,DB03,DB03,bidir,bidir,high,tri_state,data,cbus_db_i[3]|cbus_db_o[3]|cbus_db_oe[3],data,S001_p273_p276_p301,confirmed,
B8,DB04,DB04,bidir,bidir,high,tri_state,data,cbus_db_i[4]|cbus_db_o[4]|cbus_db_oe[4],data,S001_p273_p276_p301,confirmed,
B9,DB05,DB05,bidir,bidir,high,tri_state,data,cbus_db_i[5]|cbus_db_o[5]|cbus_db_oe[5],data,S001_p273_p276_p301,confirmed,
B10,DB06,DB06,bidir,bidir,high,tri_state,data,cbus_db_i[6]|cbus_db_o[6]|cbus_db_oe[6],data,S001_p273_p276_p301,confirmed,
B11,GND,GND,power,power,n/a,n/a,ground,,power,S001_p273_p276,confirmed,
B12,DB07,DB07,bidir,bidir,high,tri_state,data,cbus_db_i[7]|cbus_db_o[7]|cbus_db_oe[7],data,S001_p273_p276_p301,confirmed,
B13,DB08,DB08,bidir,bidir,high,tri_state,data,cbus_db_i[8]|cbus_db_o[8]|cbus_db_oe[8],data,S001_p273_p276_p301,confirmed,
B14,DB09,DB09,bidir,bidir,high,tri_state,data,cbus_db_i[9]|cbus_db_o[9]|cbus_db_oe[9],data,S001_p273_p276_p301,confirmed,
B15,DB10,DB10,bidir,bidir,high,tri_state,data,cbus_db_i[10]|cbus_db_o[10]|cbus_db_oe[10],data,S001_p273_p276_p301,confirmed,
B16,DB11,DB11,bidir,bidir,high,tri_state,data,cbus_db_i[11]|cbus_db_o[11]|cbus_db_oe[11],data,S001_p273_p276_p301,confirmed,
B17,DB12,DB12,bidir,bidir,high,tri_state,data,cbus_db_i[12]|cbus_db_o[12]|cbus_db_oe[12],data,S001_p273_p276_p301,confirmed,
B18,DB13,DB13,bidir,bidir,high,tri_state,data,cbus_db_i[13]|cbus_db_o[13]|cbus_db_oe[13],data,S001_p273_p276_p301,confirmed,
B19,DB14,DB14,bidir,bidir,high,tri_state,data,cbus_db_i[14]|cbus_db_o[14]|cbus_db_oe[14],data,S001_p273_p276_p301,confirmed,
B20,DB15,DB15,bidir,bidir,high,tri_state,data,cbus_db_i[15]|cbus_db_o[15]|cbus_db_oe[15],data,S001_p274_p276_p301,confirmed,
B21,GND,GND,power,power,n/a,n/a,ground,,power,S001_p274_p276,confirmed,
B22,+12V,+12V,power,power,n/a,n/a,power,,power,S001_p274_p276,confirmed,
B23,+12V,+12V,power,power,n/a,n/a,power,,power,S001_p274_p276,confirmed,
B24,IR31,IR31,card_to_host,card_to_host,high,tri_state,irq,cbus_irq3_assert,irq_ts,S001_p274_p276_p301,confirmed,正エッジ要求
B25,IR51,IR51,card_to_host,card_to_host,high,tri_state,irq,cbus_irq5_assert,irq_ts,S001_p274_p276_p301,confirmed,正エッジ要求
B26,IR61,IR61,card_to_host,card_to_host,high,tri_state,irq,cbus_irq6_assert,irq_ts,S001_p274_p276_p301,confirmed,正エッジ要求
B27,IR91,IR91,card_to_host,card_to_host,high,open_collector,irq,cbus_irq9_assert,irq_oc,S001_p274_p276_p301,confirmed,正エッジ要求
B28,IR101|IR111,IR101,card_to_host,card_to_host,high,tri_state,irq,cbus_irq10_assert|cbus_irq11_assert,irq_ts,S001_p274_p275_p276_p277,variant,機種とスロットでIR10またはIR11
B29,IR121,IR121,card_to_host,card_to_host,high,tri_state,irq,cbus_irq12_assert,irq_ts,S001_p274_p276_p301,confirmed,正エッジ要求
B30,IR131,IR131,card_to_host,card_to_host,high,tri_state,irq,cbus_irq13_assert,irq_ts,S001_p274_p276_p301,confirmed,正エッジ要求
B31,GND,GND,power,power,n/a,n/a,ground,,power,S001_p274_p276,confirmed,
B32,-12V,-12V,power,power,n/a,n/a,power,,power,S001_p274_p276,confirmed,
B33,-12V,-12V,power,power,n/a,n/a,power,,power,S001_p274_p276,confirmed,
B34,RESET0,RESET0,host_to_card,host_to_card,low,n/a,system,cbus_reset_n_i,host_ctl_in,S001_p274_p276,confirmed,
B35,DACK00,DACK00,host_to_card,host_to_card,low,n/a,dma,cbus_dack0_n_i,dma_in,S001_p274_p277,variant,PC-98XAではスロット4のみDACK3
B36,DACK30|DACK20,DACK30,host_to_card,host_to_card,low,n/a,dma,cbus_dack2_n_i|cbus_dack3_n_i,dma_in,S001_p274_p275_p277,variant,機種とスロットでDACK2またはDACK3
B37,DRQ00,DRQ00,card_to_host,card_to_host,low,open_collector,dma,cbus_drq0_n_assert,dma_out_oc,S001_p274_p277_p301,variant,PC-98XAではスロット4のみDRQ3
B38,DRQ30|DRQ20,DRQ30,card_to_host,card_to_host,low,open_collector,dma,cbus_drq2_n_assert|cbus_drq3_n_assert,dma_out_oc,S001_p274_p275_p277_p301,variant,機種とスロットでDRQ2またはDRQ3
B39,WORD0,WORD0,card_to_host,card_to_host,low,tri_state,dma,cbus_word_n_o|cbus_word_n_oe,dma_out_ts,S001_p274_p277_p301,confirmed,DACKと同期してカードが駆動
B40,CPKILL0,EXHRQ10,card_to_host,card_to_host,low,tri_state|open_collector,generation_mux,cbus_cpkill_n_assert|cbus_exhrq1_n_assert,gen_mux_b40,S001_p274_p275_p277_p301,variant,PC-98XAスロット1はBANK0
B41,GND,GND,power,power,n/a,n/a,ground,,power,S001_p274_p277,confirmed,
B42,RQGT0,EXHLA10,bidir,host_to_card,low,tri_state|n/a,generation_mux,cbus_rqgt_n_i|cbus_rqgt_n_o|cbus_rqgt_n_oe|cbus_exhla1_n_i,gen_mux_b42,S001_p274_p275_p277,confirmed,世代で方向が変わる
B43,DMATC0,DMATC0,host_to_card,host_to_card,low,n/a,dma,cbus_dmatc_n_i,dma_in,S001_p274_p277,confirmed,
B44,NMI0,NMI0,host_to_card,host_to_card,low,n/a,system,cbus_nmi_n_i,host_ctl_in,S001_p274_p277,confirmed,
B45,MWE0,MWE0,bidir,bidir,low,tri_state,command,cbus_mwe_n_i|cbus_mwe_n_o|cbus_mwe_n_oe,cmd_bidir,S001_p274_p277_p301,confirmed,
B46,HLDA00,EXHLA20,host_to_card,host_to_card,low,n/a,generation_mux,cbus_hlda_n_i|cbus_exhla2_n_i,arb_in,S001_p274_p275_p277,confirmed,
B47,HRQ00,EXHRQ20,card_to_host,card_to_host,low,tri_state|open_collector,generation_mux,cbus_hrq_n_assert|cbus_exhrq2_n_assert,gen_mux_b47,S001_p274_p275_p277_p301,confirmed,世代で出力回路形式が変わる
B48,DMAHLD0,SBUSRQ1,card_to_host,host_to_card,low|high,tri_state|n/a,generation_mux,cbus_dmahold_n_assert|cbus_sbusrq_i,gen_mux_b48,S001_p274_p275_p277,confirmed,世代で極性と方向が変わる
B49,+5V,+5V,power,power,n/a,n/a,power,,power,S001_p274_p277,confirmed,
B50,+5V,+5V,power,power,n/a,n/a,power,,power,S001_p274_p277,confirmed,
