connector,pin,net,kind,bank,io_voltage,cbus_assignable,source
SO-DIMM-204,47,LVDS_IOR38_N,gpio_bidir_3v3,3,3.3V,yes,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,48,GND,ground,,,no,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,49,GND,ground,,,no,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,50,LVDS_RX1_N,gpio_bidir_3v3,1,3.3V,yes,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,51,LVDS_IOR24_N,gpio_bidir_3v3,2,3.3V,yes,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,52,LVDS_RX1_P,gpio_bidir_3v3,1,3.3V,yes,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,53,LVDS_IOR24_P,gpio_bidir_3v3,2,3.3V,yes,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,54,GND,ground,,,no,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,55,GND,ground,,,no,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,56,LVDS_TX5_N,gpio_bidir_3v3,0,3.3V,yes,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,57,LVDS_IOR17_P,gpio_bidir_3v3,2,3.3V,yes,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,58,LVDS_TX5_P,gpio_bidir_3v3,0,3.3V,yes,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,59,LVDS_IOR17_N,gpio_bidir_3v3,2,3.3V,yes,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,60,GND,ground,,,no,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,61,GND,ground,,,no,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,62,LVDS_TX4_N,gpio_bidir_3v3,0,3.3V,yes,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,63,LVDS_IOR11_P,gpio_bidir_3v3,2,3.3V,yes,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,64,LVDS_TX4_P,gpio_bidir_3v3,0,3.3V,yes,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,65,LVDS_IOR11_N,gpio_bidir_3v3,2,3.3V,yes,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,66,GND,ground,,,no,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,67,LVDS_IOR20_P,gpio_bidir_3v3,2,3.3V,yes,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,68,LVDS_TX3_P,gpio_bidir_3v3,0,3.3V,yes,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,69,LVDS_IOR20_N,gpio_bidir_3v3,2,3.3V,yes,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,70,LVDS_TX3_N,gpio_bidir_3v3,0,3.3V,yes,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,71,GND,ground,,,no,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,72,GND,ground,,,no,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,73,LVDS_IOT40_N,gpio_bidir_3v3,1,3.3V,yes,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,74,LVDS_IOT38_N,gpio_bidir_3v3,1,3.3V,yes,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,75,LVDS_IOT40_P,gpio_bidir_3v3,1,3.3V,yes,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,76,LVDS_IOT38_P,gpio_bidir_3v3,1,3.3V,yes,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,77,LVDS_IOT8_P,gpio_bidir_3v3,0,3.3V,yes,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,78,LVDS_IOT36_N,gpio_bidir_3v3,1,3.3V,yes,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,79,LVDS_IOT8_N,gpio_bidir_3v3,0,3.3V,yes,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,80,LVDS_IOT36_P,gpio_bidir_3v3,1,3.3V,yes,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,81,T15_IOR7A_RPLL1_T_in,clock_input,2,,no,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,82,NC,nc,2,,no,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,83,LVDS_IOT22_P,gpio_bidir_3v3,0,3.3V,yes,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,84,LVDS_IOT18_P,gpio_bidir_3v3,0,3.3V,yes,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,85,LVDS_IOT22_N,gpio_bidir_3v3,0,3.3V,yes,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,86,LVDS_IOT18_N,gpio_bidir_3v3,0,3.3V,yes,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,87,NC,nc,,,no,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,88,NC,nc,,,no,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,89,G14_IOT13B,gpio_bidir_3v3,0,3.3V,yes,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,90,LVDS_IOT14_N,gpio_bidir_3v3,0,3.3V,yes,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,91,G15_IOT13A,gpio_bidir_3v3,0,3.3V,yes,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,92,LVDS_IOT14_P,gpio_bidir_3v3,0,3.3V,yes,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,93,NC,nc,,,no,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,94,NC,nc,,,no,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,95,F14_IOT9A,gpio_bidir_3v3,0,3.3V,yes,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,96,B10_IOR31B_~{RECFG},configuration,3,,no,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,97,F16_IOT9B,gpio_bidir_3v3,0,3.3V,yes,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,98,A13_IOR32A_READY,configuration,3,,no,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,99,NC,nc,,,no,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,100,NC,nc,3,,no,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,101,LVDS_IOT44_N,gpio_bidir_3v3,1,3.3V,yes,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,102,NC,nc,,,no,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,103,LVDS_IOT44_P,gpio_bidir_3v3,1,3.3V,yes,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,104,NC,nc,3,,no,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,105,NC,nc,,,no,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,106,NC,nc,3,,no,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,107,A15_IOL2B,gpio_bidir_3v3,7,3.3V,yes,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,108,NC,nc,,,no,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,109,B14_IOL2A,gpio_bidir_3v3,7,3.3V,yes,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,110,NC,nc,3,,no,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,111,NC,nc,,,no,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,112,NC,nc,3,,no,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,113,A14_IOL8B,gpio_bidir_3v3,7,3.3V,yes,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,114,NC,nc,,,no,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,115,B13_IOL8A,gpio_bidir_3v3,7,3.3V,yes,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,116,NC,nc,3,,no,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,117,NC,nc,,,no,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,118,NC,nc,3,,no,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,119,C12_IOL7A,gpio_bidir_3v3,7,3.3V,yes,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,120,NC,nc,,,no,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,121,B12_IOL7B,gpio_bidir_3v3,7,3.3V,yes,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,122,NC,nc,2,,no,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,123,A12_IOL13B,gpio_bidir_3v3,7,3.3V,yes,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,124,NC,nc,2,,no,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,125,C11_IOL15B,gpio_bidir_3v3,7,3.3V,yes,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,126,NC,nc,,,no,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,127,GND,ground,,,no,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,128,GND,ground,2,,no,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,129,B11_IOL13A,gpio_bidir_3v3,7,3.3V,yes,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,130,LVDS_TX2_P,gpio_bidir_3v3,0,3.3V,yes,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,131,A11_IOL15A,gpio_bidir_3v3,7,3.3V,yes,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,132,LVDS_TX2_N,gpio_bidir_3v3,0,3.3V,yes,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,133,GND,ground,,,no,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,134,GND,ground,2,,no,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,135,C10_IOR39A,gpio_bidir_3v3,3,3.3V,yes,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,136,C13_IOR32B_~{DONE},configuration,3,,no,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,137,NC,nc,,,no,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,138,GND,ground,2,,no,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,139,GND,ground,,,no,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,140,LVDS_TX1_P,gpio_bidir_3v3,0,3.3V,yes,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,141,NC,nc,2,,no,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,142,LVDS_TX1_N,gpio_bidir_3v3,0,3.3V,yes,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,143,B8_IOR25B_JTAG_TMS,jtag,,,no,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,144,GND,ground,,,no,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,145,GND,ground,2,,no,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,146,C9_IOL27B,gpio_bidir_3v3,7,3.3V,yes,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,147,C6_IOR25A_JTAG_TDO,jtag,,,no,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,148,A9_IOL27A,gpio_bidir_3v3,7,3.3V,yes,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,149,A7_IOR26A_JTAG_TCK,jtag,,,no,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,150,GND,ground,,,no,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,151,GND,ground,2,,no,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,152,LVDS_IOT32_N,gpio_bidir_3v3,1,3.3V,yes,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,153,A6_IOR26B_JTAG_TDI,jtag,,,no,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,154,LVDS_IOT32_P,gpio_bidir_3v3,1,3.3V,yes,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,155,GND,ground,2,,no,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,156,GND,ground,,,no,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,157,C7_IOL40B_1V5,input_only_1v5,4,1.5V,no,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,158,E9_IOL38B_1V5,input_only_1v5,4,1.5V,no,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,159,D7_IOL53B_1V5,input_only_1v5,4,1.5V,no,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,160,E8_IOL45B_1V5,input_only_1v5,4,1.5V,no,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,161,GND,ground,,,no,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,162,GND,ground,,,no,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,163,T2_IOB48B_1V5,input_only_1v5,4,1.5V,no,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,164,F_VCCO0&1,power,,,no,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,165,T3_IOB52B_1V5,input_only_1v5,4,1.5V,no,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,166,F_VCCO0&1,power,,,no,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,167,GND,ground,,,no,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,168,GND,ground,,,no,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,169,T4_IOB45B_1V5,input_only_1v5,4,1.5V,no,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,170,F_VCCO7,power,,,no,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,171,T5_IOB54B_1V5,input_only_1v5,4,1.5V,no,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,172,GND,ground,,,no,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,173,GND,ground,,,no,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,174,F_VCCO7,power,,,no,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,175,N6_IOR51A,gpio_bidir_3v3,3,3.3V,yes,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,176,F10_IOL11A,gpio_bidir_3v3,7,3.3V,yes,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,177,N7_IOR47B,gpio_bidir_3v3,3,3.3V,yes,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,178,GND,ground,,,no,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,179,GND,ground,,,no,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,180,D11_IOL22A,gpio_bidir_3v3,7,3.3V,yes,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,181,N9_IOR36B,gpio_bidir_3v3,3,3.3V,yes,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,182,D10_IOL17A,gpio_bidir_3v3,7,3.3V,yes,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,183,R9_IOR35A_~{FASTRD},configuration,3,,no,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,184,GND,ground,,,no,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,185,GND,ground,,,no,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,186,E10_IOL17B,gpio_bidir_3v3,7,3.3V,yes,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,187,NC,nc,,,no,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,188,NC,nc,,,no,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,189,GND,ground,,,no,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,190,GND,ground,,,no,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,191,LVDS_IOR40_P,gpio_bidir_3v3,3,3.3V,yes,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,192,LVDS_IOR49_P,gpio_bidir_3v3,3,3.3V,yes,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,193,LVDS_IOR40_N,gpio_bidir_3v3,3,3.3V,yes,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,194,LVDS_IOR49_N,gpio_bidir_3v3,3,3.3V,yes,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,195,GND,ground,,,no,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,196,GND,ground,,,no,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,197,NC,nc,,,no,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,198,LVDS_IOR44_P,gpio_bidir_3v3,3,3.3V,yes,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,199,NC,nc,,,no,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,200,LVDS_IOR44_N,gpio_bidir_3v3,3,3.3V,yes,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,201,NC,nc,,,no,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,202,NC,nc,,,no,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,203,NC,nc,,,no,Tang_Primer_20K_SOM-3961_Schematic.pdf
SO-DIMM-204,204,NC,nc,,,no,Tang_Primer_20K_SOM-3961_Schematic.pdf
